start-date,end-date,sport,event,venue,
2019-06-01,2019-06-01,RUGBY UNION,Premiership final,Twickenham,
2019-06-01,2019-06-01,RUGBY LEAGUE,Challenge Cup quarter-finals,,
2019-06-02,2019-06-02,ATHLETICS,Diamond League,Stockholm,
2019-06-02,2019-06-02,MOTOR CYCLING,MotoGP,Mugello,
2019-06-03,2019-06-03,CRICKET,World Cup: England v Pakistan,Trent Bridge,
2019-06-05,2019-06-05,RUGBY LEAGUE,State of Origin: Queensland v New South Wales,Brisbane,
2019-06-05,2019-06-09,FOOTBALL,Nations League Finals including England v Netherlands semi-final,Portugal,
2019-06-05,2019-06-09,ATHLETICS,Diamond League,Oslo,
2019-06-06,2019-06-13,CRICKET,England women ODI series v West Indies,,
2019-06-07,2019-06-08,FOOTBALL,Euro 2020 qualifying matchday three,,
2019-06-07,2019-07-07,FOOTBALL,Women’s World Cup,France,
2019-06-08,2019-06-08,CRICKET,World Cup: England v Bangladesh,Cardiff,
2019-06-08,2019-06-09,MOTOR CYCLING,World Superbikes,Jerez,
2019-06-08,2019-06-09,TRIATHLON,World Series,Leeds,
2019-06-09,2019-06-09,MOTOR RACING,Canadian Grand Prix,Montreal,
2019-06-10,2019-06-11,FOOTBALL,Euro 2020 qualifying matchday four,,
2019-06-10,2019-06-15,CYCLING,Women’s Tour,Wales,
2019-06-10,2019-06-16,TENNIS,Mercedes Cup,Stuttgart,
2019-06-10,2019-06-16,TENNIS,Nature Valley Open,Nottingham,
2019-06-10,2019-06-16,TENNIS,Liberna Open,‘s-Hertogenbosch,
2019-06-13,2019-06-13,ATHLETICS,Diamond League,Oslo,
2019-06-13,2019-06-16,GOLF,US Open,California,
2019-06-13,2019-06-16,MOTOR RACING,Italian Rally,,
2019-06-14,2019-06-14,CRICKET,World Cup: England v West Indies,Ageas Bowl,
2019-06-15,2019-07-13,FOOTBALL,Africa Cup of Nations,tbc,
2019-06-15,2019-06-16,MOTOR RACING,Le Mans 24,,
2019-06-16,2019-06-16,ATHLETICS,Diamond League,Rabat,
2019-06-16,2019-06-16,MOTOR CYCLING,MotoGP,Barcelona,
